name,lon,lat,note
bostanli,27.0940,38.4515,pilot salım noktası
karsiyaka,27.1150,38.4500,iskele açığı
alsancak,27.1450,38.4400,liman açığı
konak,27.1230,38.4200,iskele açığı
inciralti,27.0700,38.4050,Çakalburnu lagünü açığı
yenikale,26.9950,38.4300,iç körfez girişi
guzelbahce,26.9000,38.3800,güney kıyı
urla_iskele,26.7700,38.3700,orta körfez güney
gediz_agzi,26.8000,38.5750,delta açığı
foca,26.7400,38.6650,dış körfez doğu
mordogan,26.6400,38.5200,dış körfez batı
karaburun_kuzey,26.4500,38.7500,açık sınır yakını
aliaga_acik,26.9000,38.8200,açık sınır yakını
