id,name,type,lon,lat,district,quantity_hint,verified,note
S01,Gediz Nehri ağzı,river,26.8000,38.5850,Menemen/Çiğli,"~430000 parçacık/sn mikroplastik (Kazancı vd. 2025)",no,"Dış körfez; en büyük tekil kaynak; ağız konumu OSM'den doğrulanacak"
S02,Meles Çayı ağzı,creek,27.1600,38.4430,Konak,"DÇEP kara kaynaklı",no,"İç körfez doğu ucu, Alsancak limanı yanı"
S03,Manda Çayı ağzı,creek,27.1720,38.4600,Bayraklı,"DÇEP kara kaynaklı",no,"Bornova havzası; Bayraklı sahili"
S04,Arap Deresi ağzı,creek,27.1700,38.4650,Bayraklı,"DÇEP kara kaynaklı",no,"Konum kabaca; OSM'den doğrulanacak"
S05,Laka Deresi ağzı,creek,27.1650,38.4620,Bayraklı,"",no,"DÇEP listesinde değil; İZSU dere listesinden; konum doğrulanacak"
S06,Çitlembik Deresi ağzı,creek,,,?,"DÇEP kara kaynaklı",no,"Konum bilinmiyor; DÇEP metninden ve OSM'den bulunacak"
S07,Irmak Deresi ağzı,creek,,,?,"DÇEP kara kaynaklı",no,"Konum bilinmiyor; bulunacak"
S08,Kavaklıdere ağzı,creek,,,?,"DÇEP kara kaynaklı",no,"Konum bilinmiyor; bulunacak"
S09,Bostanlı Deresi ağzı,creek,27.0950,38.4560,Karşıyaka,"",no,"Pilot bölge; İBB ızgara/bariyer noktası"
S10,Poligon Deresi ağzı,creek,27.0800,38.4030,Konak,"",no,"Güzelyalı; konum doğrulanacak"
S11,Balçova Deresi ağzı,creek,27.0400,38.3990,Balçova,"",no,"Konum doğrulanacak"
S12,Ilıca Deresi ağzı,creek,27.0000,38.3960,Narlıdere,"",no,"Konum doğrulanacak"
P01,Alsancak Limanı,port,27.1500,38.4440,Konak,"DÇEP deniz kaynaklı",no,"Konteyner + yolcu"
P02,Pasaport İskelesi,ferry_pier,27.1330,38.4290,Konak,"",no,""
P03,Konak İskelesi,ferry_pier,27.1270,38.4190,Konak,"",no,""
P04,Karşıyaka İskelesi,ferry_pier,27.1180,38.4560,Karşıyaka,"",no,""
P05,Bostanlı İskelesi,ferry_pier,27.0980,38.4560,Karşıyaka,"",no,""
P06,Bayraklı İskelesi,ferry_pier,27.1690,38.4600,Bayraklı,"",no,""
P07,Üçkuyular İskelesi,ferry_pier,27.0700,38.4040,Konak,"",no,""
M01,Levent Marina (Mavişehir),marina,27.0870,38.4590,Karşıyaka,"DÇEP: 6 marina",no,""
M02,Setur Çeşme Marina,marina,26.3020,38.3200,Çeşme,"",no,""
M03,Teos Marina (Sığacık),marina,26.7830,38.1950,Seferihisar,"",no,""
M04,Alaçatı Marina,marina,26.3700,38.2650,Çeşme,"",no,"Konum doğrulanacak"
F01,Foça balıkçı barınağı,fishing_harbour,26.7550,38.6700,Foça,"DÇEP: 40 barınak",no,"Barınak listesi DÇEP'ten tamamlanacak"
F02,Urla İskele balıkçı barınağı,fishing_harbour,26.7700,38.3630,Urla,"",no,""
F03,Güzelbahçe balıkçı barınağı,fishing_harbour,26.8900,38.3700,Güzelbahçe,"",no,""
F04,Dikili limanı/barınağı,fishing_harbour,26.8850,39.0720,Dikili,"",no,""
F05,Karaburun/Mordoğan barınağı,fishing_harbour,26.6200,38.5200,Karaburun,"",no,"Mordoğan; konum doğrulanacak"
I01,Aliağa–Nemrut liman bölgesi,industrial_port,26.9200,38.7700,Aliağa,"Gemi söküm + rafineri",no,""
