origin,name,lon,lat,n,stranded_frac,t_strand_med_h,Z01,Z02,Z03,Z04,Z13,Z14,Z05,Z15,Z06,Z16,Z07,Z08,Z09,Z10,Z11,Z00,Z12,dominant,dominant_frac
C00000,C00000,26.3633,38.3135,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00001,C00001,26.3748,38.3135,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00002,C00002,26.6741,38.3135,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00003,C00003,26.6856,38.3135,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00004,C00004,26.3173,38.3225,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00005,C00005,26.3288,38.3225,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00006,C00006,26.3518,38.3225,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00007,C00007,26.3633,38.3225,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00008,C00008,26.3748,38.3225,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00009,C00009,26.3978,38.3225,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
