origin,name,lon,lat,n,stranded_frac,t_strand_med_h,Z01,Z02,Z03,Z04,Z13,Z14,Z05,Z15,Z06,Z16,Z07,Z08,Z09,Z10,Z11,Z00,Z12,dominant,dominant_frac
S01,Gediz Nehri ağzı,26.8000,38.5849,650,0.998,24.0,0.000,0.000,0.000,0.000,0.025,0.589,0.195,0.115,0.072,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.002,Z14,0.589
S02,Meles Çayı ağzı,27.1600,38.4509,650,1.000,3.0,0.000,0.945,0.054,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z02,0.945
S03,Manda Çayı ağzı,27.1600,38.4578,650,1.000,6.0,0.000,0.885,0.098,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z02,0.885
S04,Arap Deresi ağzı,27.1588,38.4597,650,1.000,6.0,0.000,0.789,0.166,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z02,0.789
S05,Laka Deresi ağzı,27.1588,38.4597,650,1.000,6.0,0.000,0.800,0.158,0.042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z02,0.800
S09,Bostanlı Deresi ağzı,27.0888,38.4509,650,1.000,15.0,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z04,1.000
S10,Poligon Deresi ağzı,27.0813,38.4049,650,1.000,3.0,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z04,1.000
S11,Balçova Deresi ağzı,27.0463,38.4176,650,1.000,3.0,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z04,1.000
S12,Ilıca Deresi ağzı,26.9875,38.4039,650,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z05,1.000
P01,Alsancak Limanı,27.1500,38.4499,650,1.000,3.0,0.000,0.840,0.112,0.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z02,0.840
P02,Pasaport İskelesi,27.1288,38.4304,650,1.000,6.0,0.000,0.000,0.486,0.514,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z04,0.514
P03,Konak İskelesi,27.1225,38.4215,650,1.000,3.0,0.000,0.000,0.246,0.754,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z04,0.754
P04,Karşıyaka İskelesi,27.1212,38.4490,650,1.000,15.0,0.000,0.020,0.018,0.962,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z04,0.962
P05,Bostanlı İskelesi,27.0963,38.4480,650,1.000,15.0,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z04,1.000
P06,Bayraklı İskelesi,27.1600,38.4578,650,1.000,6.0,0.000,0.880,0.105,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z02,0.880
P07,Üçkuyular İskelesi,27.0775,38.4059,650,1.000,3.0,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z04,1.000
M01,Levent Marina (Mavişehir),27.0825,38.4558,650,1.000,15.0,0.002,0.000,0.000,0.998,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z04,0.998
M02,Setur Çeşme Marina,26.3200,38.3255,650,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
F01,Foça balıkçı barınağı,26.7500,38.6689,650,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.697,0.000,0.303,0.000,0.000,0.000,0.000,0.000,0.000,Z06,0.697
F02,Urla İskele balıkçı barınağı,26.7700,38.3696,650,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z05,1.000
F03,Güzelbahçe balıkçı barınağı,26.8800,38.3745,650,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z05,1.000
F05,Karaburun/Mordoğan barınağı,26.6288,38.5233,650,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.126,0.874,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z06,0.874
I01,Aliağa–Nemrut liman bölgesi,26.9200,38.7703,650,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.063,0.000,0.000,0.937,0.000,0.000,0.000,Z10,0.937
